evt_block_number,evt_index,evt_block_time,floor_price_eth
12945330,215,2021-08-02T10:05:45+00:00,30.2979782101045058
12946048,67,2021-08-02T12:52:28+00:00,30.1638332426216555
12946048,82,2021-08-02T12:52:28+00:00,29.6656231897305715
12946062,25,2021-08-02T12:56:24+00:00,29.5189183866539384
12946062,32,2021-08-02T12:56:24+00:00,29.8128645950336495
12946062,36,2021-08-02T12:56:24+00:00,29.7802320348390906
12946151,22,2021-08-02T13:15:57+00:00,29.3470484559655228
12947345,72,2021-08-02T17:47:22+00:00,29.6948989363691724
12947363,78,2021-08-02T17:50:37+00:00,30.6974356381862183
12947363,85,2021-08-02T17:50:37+00:00,30.8631928427212520
12947554,52,2021-08-02T18:28:35+00:00,30.6507844792116933
12947577,72,2021-08-02T18:33:23+00:00,30.9657583878860340
12947672,334,2021-08-02T18:56:49+00:00,30.9135899519964818
12947757,238,2021-08-02T19:16:00+00:00,31.0321216609378802
12947848,169,2021-08-02T19:36:38+00:00,30.7767531965110207
12948108,11,2021-08-02T20:32:48+00:00,31.5901477177153550
12948344,212,2021-08-02T21:28:45+00:00,31.8267641982193138
12948434,143,2021-08-02T21:47:51+00:00,31.8386238349773759
12948593,42,2021-08-02T22:22:49+00:00,31.9711078780003677
12949113,269,2021-08-03T00:12:43+00:00,32.0336796061416367
12949397,277,2021-08-03T01:17:18+00:00,32.0989241838498587
12949466,33,2021-08-03T01:32:06+00:00,31.8833124225885365
12949420,335,2021-08-03T01:22:03+00:00,31.9026889061392571
12949485,20,2021-08-03T01:36:17+00:00,31.2842953671444376
12949507,141,2021-08-03T01:41:42+00:00,30.7720529646499310
12949490,112,2021-08-03T01:37:29+00:00,30.9528172747759534
12950215,279,2021-08-03T04:28:59+00:00,31.4700658641825155
13015444,147,2021-08-13T07:26:47+00:00,43.8094823887727880
12950448,9,2021-08-03T05:24:27+00:00,31.7242036763608293
12950450,129,2021-08-03T05:25:07+00:00,31.2442459232999039
12951101,27,2021-08-03T07:55:29+00:00,31.6451180271963187
12951648,115,2021-08-03T10:00:08+00:00,32.2442668820487178
13015932,30,2021-08-13T09:10:56+00:00,43.8057366604050470
12951713,171,2021-08-03T10:13:01+00:00,32.0223957261245058
12951743,290,2021-08-03T10:20:14+00:00,31.9546079974049747
12951849,120,2021-08-03T10:42:12+00:00,32.3239655479771061
12952116,11,2021-08-03T11:43:25+00:00,33.3130743071795116
12952074,243,2021-08-03T11:34:21+00:00,32.6348604559393849
13015965,29,2021-08-13T09:21:12+00:00,43.7465139921132909
12952333,29,2021-08-03T12:32:09+00:00,33.4575469382158273
12952340,75,2021-08-03T12:34:45+00:00,33.1933734656804245
12952331,15,2021-08-03T12:31:32+00:00,36.6923961562707310
12952331,34,2021-08-03T12:31:32+00:00,36.4502368237466096
12952913,167,2021-08-03T14:50:28+00:00,33.0689374376775531
13016092,248,2021-08-13T09:50:37+00:00,44.3263002701446191
12953707,60,2021-08-03T17:45:36+00:00,32.4388426856812569
12954064,51,2021-08-03T19:00:34+00:00,31.7123460255066020
12954089,38,2021-08-03T19:06:14+00:00,31.3326643619907596
12954210,23,2021-08-03T19:33:44+00:00,30.6644352263046466
12954163,9,2021-08-03T19:23:33+00:00,30.9315192011475923
12954189,36,2021-08-03T19:27:24+00:00,30.3467517039383559
12954341,13,2021-08-03T20:01:33+00:00,31.7764403551659194
12954573,21,2021-08-03T20:50:39+00:00,31.7711155431281523
12954975,200,2021-08-03T22:34:02+00:00,31.6109359938517098
12955017,96,2021-08-03T22:41:33+00:00,31.6709843830844035
12955187,205,2021-08-03T23:16:01+00:00,31.8518469059286295
12955269,17,2021-08-03T23:32:19+00:00,31.2144174558877021
12955269,22,2021-08-03T23:32:19+00:00,31.0639296460014838
12955366,194,2021-08-03T23:53:09+00:00,31.2978493881281734
12955517,19,2021-08-04T00:25:14+00:00,31.3655244258256935
12955603,120,2021-08-04T00:45:37+00:00,31.4302314204993695
12955693,33,2021-08-04T01:11:08+00:00,32.1420816844824421
12956121,160,2021-08-04T02:44:48+00:00,33.1144671133480746
12956322,32,2021-08-04T03:30:18+00:00,33.0947501799328731
12956452,280,2021-08-04T04:00:31+00:00,32.8837064582860033
12956495,115,2021-08-04T04:11:21+00:00,33.0628175676317746
13016504,142,2021-08-13T11:24:17+00:00,44.3549937272935552
12957540,270,2021-08-04T08:17:08+00:00,32.5725809800705515
12958628,268,2021-08-04T12:27:27+00:00,32.4151990883301174
12958660,88,2021-08-04T12:35:42+00:00,32.5364445158756406
12958977,36,2021-08-04T13:42:12+00:00,32.7507124514064690
12959246,101,2021-08-04T14:40:35+00:00,33.1516573088260610
12959273,67,2021-08-04T14:47:57+00:00,33.8391942537191597
12959333,303,2021-08-04T15:00:59+00:00,34.2893220943140232
12959750,33,2021-08-04T16:34:17+00:00,35.0687190711610139
12959749,22,2021-08-04T16:33:30+00:00,34.3798626699509468
12959749,27,2021-08-04T16:33:30+00:00,35.0261653394427670
12959749,31,2021-08-04T16:33:30+00:00,35.2934752879576972
12959868,148,2021-08-04T16:56:56+00:00,34.8467274445708654
12959903,17,2021-08-04T17:08:34+00:00,34.2251421204023260
12959903,22,2021-08-04T17:08:34+00:00,34.1365149311624134
12959964,11,2021-08-04T17:23:42+00:00,35.0869294880833572
12959975,18,2021-08-04T17:25:27+00:00,34.9823777758581562
12960057,227,2021-08-04T17:45:47+00:00,34.7961989678862614
12960120,6,2021-08-04T17:58:38+00:00,34.7780414541352035
12960201,185,2021-08-04T18:14:37+00:00,35.0539095051307345
12960436,36,2021-08-04T19:05:26+00:00,34.7648020191157336
12960725,12,2021-08-04T20:10:54+00:00,34.4266135561065884
12960818,195,2021-08-04T20:31:01+00:00,34.2271538151888458
12960940,215,2021-08-04T21:00:31+00:00,34.1197442095107418
12960944,81,2021-08-04T21:01:28+00:00,34.0265114189170698
12961130,21,2021-08-04T21:42:07+00:00,33.8206686765130855
12961210,23,2021-08-04T22:00:19+00:00,34.4435039651674714
12961253,67,2021-08-04T22:11:50+00:00,35.0642179981105110
12961307,11,2021-08-04T22:26:12+00:00,35.9076932376713578
12961430,225,2021-08-04T22:53:08+00:00,36.7832259609714632
12961655,114,2021-08-04T23:47:29+00:00,36.4289429934375486
12961717,48,2021-08-04T23:59:10+00:00,36.1351594273513260
12961957,11,2021-08-05T00:58:13+00:00,36.4812363655314454
12962477,3,2021-08-05T02:56:32+00:00,36.8329216606293453
12962477,10,2021-08-05T02:56:32+00:00,37.3940498244614783
12962477,14,2021-08-05T02:56:32+00:00,37.5908469769210111
12962733,85,2021-08-05T03:56:16+00:00,37.4175688838605718
12962775,60,2021-08-05T04:04:40+00:00,37.0960053028016677
12962788,124,2021-08-05T04:07:24+00:00,36.9733986558432937
12962755,189,2021-08-05T04:00:17+00:00,37.2438713836009411
12962901,183,2021-08-05T04:35:30+00:00,36.7927508140804247
12962977,125,2021-08-05T04:50:42+00:00,36.9478369855805759
12962992,198,2021-08-05T04:53:06+00:00,37.0797858199992802
12963149,31,2021-08-05T05:28:59+00:00,36.3000454644346186
12963340,252,2021-08-05T06:15:02+00:00,35.6424540512990765
12963363,216,2021-08-05T06:21:22+00:00,35.8399439256781508
12964374,302,2021-08-05T10:12:33+00:00,36.1000455975762415
12964925,182,2021-08-05T12:19:18+00:00,36.4016354491300073
12965183,187,2021-08-05T13:15:08+00:00,37.0002459053374663
12965213,192,2021-08-05T13:23:18+00:00,38.4892456203444701
12965791,487,2021-08-05T15:35:48+00:00,39.4673433101484748
12965841,131,2021-08-05T15:49:08+00:00,39.1873302061691189
12966039,3,2021-08-05T16:31:14+00:00,39.4738401738519528
12966039,8,2021-08-05T16:31:14+00:00,40.2583685089692357
12966039,12,2021-08-05T16:31:14+00:00,40.6083445461892883
13017506,16,2021-08-13T14:57:34+00:00,43.6957674293620250
12966208,132,2021-08-05T17:12:08+00:00,40.3942582524985324
12966456,18,2021-08-05T18:04:03+00:00,39.7335101655751040
13017540,336,2021-08-13T15:06:23+00:00,42.9645154953858987
12966721,131,2021-08-05T19:02:08+00:00,39.1305354542976579
12966834,363,2021-08-05T19:28:40+00:00,39.6234410843076071
13017557,29,2021-08-13T15:10:27+00:00,42.5574206895960018
13017567,345,2021-08-13T15:12:02+00:00,42.1255026486003346
12966874,16,2021-08-05T19:37:50+00:00,40.3058494178774806
12966990,221,2021-08-05T20:00:47+00:00,41.1144051932828147
12967013,358,2021-08-05T20:06:20+00:00,41.9432440934790356
