,alpha=0.01,alpha=0.025,alpha=0.05,alpha=0.075,alpha=0.1
t=2221200,14.542966838030425,4.378099273972817,2.3691303295030437,1.7567192222332513,1.435848162480958
t=2224800,14.590925356035886,4.388527708977567,2.3739624672990876,1.760076282143034,1.4384892858296126
t=2228400,14.639008889342406,4.398971783470673,2.3787995907687964,1.7634361633087199,1.4411323301305585
t=2232000,14.68721773174723,4.409431519918529,2.3836417056866606,1.766798868816922,1.4437772974581344
t=2235600,14.735552177672322,4.419906940811366,2.388488817829033,1.7701644017537963,1.4464241898856436
t=2239200,14.784012522165686,4.430398068663241,2.3933409329741693,1.7735327652050552,1.4490730094853648
t=2242800,14.83259906090219,4.440904926012114,2.398198056902224,1.7769039622559912,1.4517237583285652
t=2246400,14.881312090185713,4.451427535419947,2.4030601953952857,1.780277995991478,1.4543764384855118
t=2250000,14.930151906949648,4.461965919472658,2.4079273542374,1.7836548694959982,1.4570310520254908
t=2253600,14.979118808758333,4.472520100780265,2.412799539214581,1.7870345858536592,1.4596876010168134
t=2257200,15.028213093808855,4.483090101976891,2.4176767561148367,1.7904171481481965,1.4623460875268326
t=2260800,15.07743506093177,4.49367594572085,2.4225590107281922,1.7938025594630025,1.4650065136219537
t=2264400,15.126785009592624,4.5042776546946515,2.4274463088467018,1.7971908228811335,1.4676688813676493
t=2268000,15.176263239893398,4.514895251605125,2.432338656264478,1.8005819414853268,1.4703331928284715
t=2271600,15.22587005257331,4.525528759183381,2.437236058777703,1.8039759183580175,1.4729994500680612
t=2275200,15.275605749010971,4.536178200184963,2.442138522184656,1.8073727565813527,1.475667655149167
t=2278800,15.32547063122485,4.546843597389804,2.4470460522857294,1.8107724592372003,1.4783378101336484
t=2282400,15.375465001875057,4.557524973602389,2.4519586548834464,1.8141750294071728,1.4810099170824986
t=2286000,15.425589164264522,4.568222351651667,2.45687633578249,1.8175804701726377,1.4836839780558462
t=2289600,15.475843422340336,4.578935754391234,2.4617991007897064,1.8209887846147286,1.4863599951129771
t=2293200,15.526228080695052,4.58966520469932,2.466726955714137,1.8243999758143676,1.4890379703123378
t=2296800,15.576743444568017,4.600410725478843,2.4716599063670377,1.8278140468522723,1.4917179057115537
t=2300400,15.627389819846627,4.611172339657481,2.4765979585618867,1.8312310008089696,1.4943998033674384
t=2304000,15.67816751306784,4.621950070187709,2.481541118114421,1.834650840764819,1.497083665336004
t=2307600,15.729076831419295,4.632743940046843,2.486489390842636,1.8380735698000148,1.4997694936724777
t=2311200,15.780118082740795,4.643553972237127,2.491442782566819,1.8414991909946092,1.5024572904313058
t=2314800,15.831291575525317,4.65438018978575,2.4964012991095594,1.8449277074285213,1.5051470576661727
