time,low,high,open,close,volume
2022-01-14 14:35:00,3205.41,3246.23,3209.84,3241.17,869.53974789
2022-01-14 14:40:00,3240.0,3251.34,3241.9,3246.45,716.86652844
2022-01-14 14:45:00,3243.38,3268.0,3246.02,3257.92,907.8412134
2022-01-14 14:50:00,3254.38,3267.33,3257.36,3264.89,984.86596695
2022-01-14 14:55:00,3264.32,3286.29,3264.69,3277.76,1721.59560635
2022-01-14 15:00:00,3260.24,3283.73,3277.58,3267.53,1099.89474639
2022-01-14 15:05:00,3266.84,3289.05,3267.53,3281.71,903.29427658
2022-01-14 15:10:00,3275.42,3286.25,3281.69,3275.77,606.44777836
2022-01-14 15:15:00,3276.08,3300.0,3276.14,3296.16,771.03273625
2022-01-14 15:20:00,3283.54,3299.16,3295.78,3284.89,944.71290213
2022-01-14 15:25:00,3279.58,3287.37,3284.81,3285.02,587.18071977
2022-01-14 15:30:00,3275.63,3285.23,3285.0,3283.08,701.9211554
2022-01-14 15:35:00,3270.79,3283.33,3283.24,3274.56,398.21753333
2022-01-14 15:40:00,3269.58,3277.74,3274.56,3272.87,381.45347983
2022-01-14 15:45:00,3272.02,3288.56,3273.47,3286.53,497.47321786
2022-01-14 15:50:00,3273.68,3288.31,3286.53,3279.39,462.1727398
2022-01-14 15:55:00,3275.0,3284.08,3279.51,3279.76,315.36251373
2022-01-14 16:00:00,3268.49,3283.56,3279.77,3274.56,650.21698465
2022-01-14 16:05:00,3265.69,3275.13,3275.13,3266.95,587.48640533
2022-01-14 16:10:00,3259.96,3269.0,3267.0,3267.44,1107.66988732
2022-01-14 16:15:00,3258.89,3269.68,3266.8,3268.96,460.93809119
2022-01-14 16:20:00,3263.1,3272.25,3268.78,3272.25,352.35873058
2022-01-14 16:25:00,3271.56,3281.96,3272.1,3275.22,1116.57821826
2022-01-14 16:30:00,3270.47,3286.79,3275.58,3282.56,664.03408378
2022-01-14 16:35:00,3282.56,3293.36,3282.56,3291.61,407.91816934
2022-01-14 16:40:00,3284.07,3294.8,3291.12,3288.53,360.33711451
2022-01-14 16:45:00,3287.88,3294.28,3288.54,3291.15,237.53414689
2022-01-14 16:50:00,3291.07,3298.4,3291.43,3297.48,312.92162134
2022-01-14 16:55:00,3292.58,3297.58,3297.47,3297.0,828.80451317
2022-01-14 17:00:00,3290.01,3309.49,3296.88,3291.39,635.52028088
2022-01-14 17:05:00,3289.45,3298.52,3291.51,3296.98,326.23200531
2022-01-14 17:10:00,3290.83,3301.58,3297.39,3291.64,371.25863439
2022-01-14 17:15:00,3291.01,3299.03,3292.04,3295.85,514.23904537
2022-01-14 17:20:00,3285.68,3296.47,3295.75,3288.84,380.42209602
2022-01-14 17:25:00,3287.0,3293.27,3288.4,3292.23,490.86131778
2022-01-14 17:30:00,3285.95,3294.0,3292.25,3287.63,275.61547418
2022-01-14 17:35:00,3284.46,3291.91,3287.62,3285.31,443.08401083
